startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
0,25000,3,12,2140,2,0,12,0,30000,1,360,12,3
0,60000,3,12,2140,1,0,8,0,30000,0,361,8,1
25001,99000,3,12,2140,2,0,12,0,30000,1,362,12,1
99001,220000,3,12,1640,2,0,20,0,30000,1,363,12,2
100001,350000,3,12,2140,2,0,13,0,40000,1,364,12,1
100001,400000,3,12,2140,2,0,11,0,30000,1,365,10,1
0,12000000,0,12,2140,1,0,8,0,0,0,366,8,1
0,12000000,2,12,2140,1,0,4,0,0,0,367,4,0
0,8000,3,12,2140,1,0,10,0,30000,0,368,8,2
0,25000,3,12,2140,1,0,11,0,60000,1,369,11,1
0,40000,3,3,2140,2,0,10,0,30000,0,370,8,0
0,90000,3,12,1640,2,0,11,0,30000,1,371,11,1
40001,150000,3,12,2640,2,1,11,0,30000,1,372,10,0
90001,190000,3,12,2140,2,0,14,0,30000,1,373,11,4
0,306000,3,12,2640,0,0,13,1,30000,1,374,11,0
0,12000000,3,12,2140,0,0,17,1,30000,1,375,15,5
0,12000000,0,12,2140,1,0,8,0,0,0,376,8,1
0,12000000,2,12,2140,1,0,3,0,0,0,377,3,1
0,12000000,4,12,2140,1,0,1,0,0,0,378,1,0
0,12000000,3,12,1609,2,0,10,0,1609000,0,379,10,0
0,12000000,3,3,1640,2,0,10,0,600000,0,380,10,0
275001,12000000,3,12,3140,0,0,14,1,250000,1,381,13,1
100001,12000000,4,4,1640,2,0,9,0,200000,0,382,9,0
100001,12000000,3,12,1640,2,1,9,0,200000,0,383,8,1
200001,2500000,3,12,1640,2,0,11,0,100000,1,384,9,1
200001,1240000,3,12,2140,2,0,15,0,100000,1,385,12,0
100001,695000,3,12,1640,2,0,13,0,100000,1,386,12,0
100001,450000,3,12,2140,2,0,17,0,80000,1,387,10,1
40001,165000,3,12,2140,2,0,16,0,80000,1,389,0,0
0,12000000,2,2,1640,2,0,7,0,80000,0,390,0,0
0,750000,3,3,2140,2,1,11,0,60000,1,391,10,1
0,90000,3,12,2140,0,0,9,1,30000,0,392,9,1
0,150000,3,3,2140,0,0,10,1,60000,0,393,10,1
50001,151184,3,12,2140,2,0,13,0,30000,1,394,11,2
90001,210000,3,12,1640,2,0,14,0,30000,1,395,12,4
0,925000,3,12,2140,0,0,10,1,30000,0,396,10,2
75001,12000000,4,4,2140,2,1,6,0,30000,0,397,6,0
0,12000000,3,12,2140,0,0,11,1,30000,1,398,10,2
200001,790000,4,12,2140,2,0,8,0,30000,0,399,8,0
0,12000000,0,12,2140,1,0,12,0,0,1,400,11,3
0,12000000,2,2,2140,1,0,0,0,0,0,401,0,0
0,12000,2,2,1640,1,0,7,0,30000,0,402,7,1
0,16000,3,12,2140,1,0,10,0,30000,0,403,10,1
0,55000,3,12,2140,2,0,13,0,30000,1,404,12,2
