startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
645500,Kick the Dust Ås (US),1310,5,h,Untersteiner Johan (Hd),0,500,1,302
644300,Arvid SH,3025,6,v,Persson Fredrik (Kr),0,272500,1,303
644000,Roofparty,463,7,v,Oscarsson Jim (Kr),0,29300,1,304
642100,Mad Princess,318,5,s,Persson Håkan K (Hd),0,26800,1,305
641500,Image Rapida,600,6,h,Sjöström Christin (Kr),0,20500,0,306
640500,Look Håleryd,1335,6,v,Untersteiner Peter (Hd),0,0,1,307
638500,Vegan Face,6180,4,v,Lugauer Conrad (J),0,0,1,308
638040,Major Tom,1300,10,v,Lejon Johan (J),0,5000,1,309
638000,Fire Piston,2750,4,h,Zukanovic Admir (Å),0,0,1,310
634700,Zlatan Knick,1735,6,v,Eriksson Christoffer (J),0,101000,1,311
631700,Alicia Bore,323,8,s,Borekull Ulf (Å),0,10500,0,312
629450,Tim Frontline,359,9,v,Fyhr Linda (Hd),1,7400,0,313
629029,Gipsy Road* (FR),1282,5,s,Malmqvist Tomas (J),0,84091,1,314
624900,Global Warrior,2445,6,v,Untersteiner Johan (Hd),0,9000,1,315
624800,Ufo Jet (IT),1845,8,v,Källgren David (Vg),0,11500,0,316
624300,Bastian,1225,5,v,Lähdekorpi Hanna (Hd),1,59000,0,317
623200,RKKing,205,9,v,Johansson Johanna (Kr),1,10500,0,318
621401,Scorpion Kiss,180,10,v,Mifsud Larson (J),0,0,0,319
618947,In the Air Tonight,749,6,s,Burman Helena (J),1,47400,1,320
616300,Moon's Oki Doki,914,9,v,Knutsson Kent (Vg),0,34500,1,321
616200,Eicas,490,6,v,Jakobsson Rigmor (Ax),1,0,0,322
613800,Felix Orlando,6795,3,h,Nordström Per (J),0,0,1,323
610600,Devs Dragon,2794,9,v,van der Meer Patricia (J),1,0,1,324
608707,Vikens Hot Chili,25,14,v,Åkerblom Solbritt (J),1,0,0,325
606700,Moneykeeper,370,6,v,Bergh Robert (Å),0,1000,1,326
606500,Digital Crunch,1730,5,v,Lähdekorpi Hanna (Hd),1,98000,0,327
603550,Karlsberg,25,10,v,Johansson Jan E (Kr),0,1500,0,328
599600,Enclave,25,7,v,Zackrisson Anders (Kr),0,1000,1,329
599050,Alfas Farao,363,11,v,Fagerlund Isabella (Kr),1,0,0,330
598716,Bossy Alley (FI),1670,7,v,Elfstrand Mimmi (Ax),1,0,1,331
